"ID","Description","GeneRatio","BgRatio","pvalue","FDR","qvalue","geneID","Count","Source"
"GO:0051222","positive regulation of protein transport","38/727","374/18481",9.27380033899933e-08,3.98278172463249e-05,3.31926516123169e-05,"Cdk1/Ran/Abcg1/Dnm1l/Ube2l3/Tgfb2/Sytl4/Chp1/Ywhae/Gna11/Gcg/Mdm2/Ptbp1/Fbxw7/Pcsk1/Dynll1/Slc2a2/Ins1/Arpc2/C2cd5/Hras/Gas6/Pck2/Oaz1/Cdh1/Ins2/Crebrf/Abcc8/Irs2/Nnat/Mief2/Usp36/Myo18a/Sri/Edem1/Arf1/Rph3al/Sox4",38,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1904951","positive regulation of establishment of protein localization","39/727","390/18481",9.58936209783104e-08,3.98278172463249e-05,3.31926516123169e-05,"Cdk1/Ran/Abcg1/Cct8/Dnm1l/Ube2l3/Tgfb2/Sytl4/Chp1/Ywhae/Gna11/Gcg/Mdm2/Ptbp1/Fbxw7/Pcsk1/Dynll1/Slc2a2/Ins1/Arpc2/C2cd5/Hras/Gas6/Pck2/Oaz1/Cdh1/Ins2/Crebrf/Abcc8/Irs2/Nnat/Mief2/Usp36/Myo18a/Sri/Edem1/Arf1/Rph3al/Sox4",39,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009199","ribonucleoside triphosphate metabolic process","21/727","139/18481",1.1795575013576e-07,4.52224198982023e-05,3.76885336061304e-05,"Ran/Atp5mc3/Opa1/Dnm1l/Atp6v1a/Parp1/Flcn/Ctps2/Myc/Ndufs1/Atp5f1a/Ola1/Stat3/Atp5mf/Ctns/Impdh2/Vcp/Ak4/Rhoa/Aldoa/Atp5pb",21,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0045862","positive regulation of proteolysis","29/727","246/18481",1.40136301239476e-07,4.98885232412535e-05,4.15772815557123e-05,"Mapk9/Ubqln2/Sumo2/Trib1/Wfs1/Mdm2/Timm17a/Trib3/Psmc5/Cycs/Fbxw7/Psmc3/Angptl8/Nop53/Agtpbp1/Herpud1/Plk1/Gsn/Psmc4/Stub1/Cfl1/S100a10/Akt1/Vcp/Csnk1d/Ppm1f/Psmd10/Psme3/Rbx1",29,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009060","aerobic respiration","25/727","193/18481",1.67337277050586e-07,5.56005992546748e-05,4.63377470344992e-05,"Cdk1/Myc/Suclg1/Ndufa8/Ndufa12/Pdhb/Shmt2/Cycs/Ndufs1/Cyc1/Nop53/Ide/Acly/Atp5f1a/Bnip3/Ndufb6/Atp5mf/Akt1/ND2/Uqcrc1/Vcp/Ak4/Rhoa/Mtch2/Atp5pb",25,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0061136","regulation of proteasomal protein catabolic process","25/727","195/18481",2.04572250270978e-07,6.20677876526093e-05,5.172752599417e-05,"Mapk9/Ubqln2/Sumo2/Trib1/Wfs1/Mdm2/Trib3/Nfe2l1/Psmc5/Fbxw7/Psmc3/Nop53/Map1a/Usp14/Pbk/Herpud1/Plk1/Psmc4/Stub1/Akt1/Vcp/Csnk1d/Psmd10/Psme3/Rbx1",25,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0043467","regulation of generation of precursor metabolites and energy","21/727","144/18481",2.18253664609986e-07,6.20677876526093e-05,5.172752599417e-05,"Cdk1/Flcn/Myc/Shmt2/Cycs/Nop53/Ide/Bnip3/Stat3/Mlx/Igf2/Ins2/Irs2/Akt1/Vcp/Epm2aip1/Ak4/Rhoa/Gpd1/Ddit4/Mtch2",21,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009205","purine ribonucleoside triphosphate metabolic process","20/727","132/18481",2.24161351875395e-07,6.20677876526093e-05,5.172752599417e-05,"Ran/Atp5mc3/Opa1/Dnm1l/Atp6v1a/Parp1/Flcn/Myc/Ndufs1/Atp5f1a/Ola1/Stat3/Atp5mf/Ctns/Impdh2/Vcp/Ak4/Rhoa/Aldoa/Atp5pb",20,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009165","nucleotide biosynthetic process","28/727","246/18481",4.75147673524662e-07,0.000118406800242346,9.8680669459385e-05,"Atp5mc3/Atp6v1a/Parp1/Dck/Flcn/Ctps2/Myc/Shmt1/Dut/Pdhb/Dctd/Aprt/Acly/Atp5f1a/Stat3/Acsl6/Atp5mf/Impdh2/Vcp/Tyms/Ak4/Rrm1/Tk1/Aldoa/Rrm2/Prps1/Atp5pb/LOC100359539",28,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0045333","cellular respiration","28/727","246/18481",4.75147673524662e-07,0.000118406800242346,9.8680669459385e-05,"Cdk1/Flcn/Myc/Suclg1/Ndufa8/Ndufa12/Pdhb/Shmt2/Cycs/Ndufs1/Cyc1/Nop53/Ide/Acly/Atp5f1a/Bnip3/Sod2/Ndufb6/Atp5mf/Akt1/ND2/Uqcrc1/Vcp/Ak4/Rhoa/Gpd1/Mtch2/Atp5pb",28,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1901293","nucleoside phosphate biosynthetic process","28/727","248/18481",5.60811274537878e-07,0.000123111389138389,0.000102601491412538,"Atp5mc3/Atp6v1a/Parp1/Dck/Flcn/Ctps2/Myc/Shmt1/Dut/Pdhb/Dctd/Aprt/Acly/Atp5f1a/Stat3/Acsl6/Atp5mf/Impdh2/Vcp/Tyms/Ak4/Rrm1/Tk1/Aldoa/Rrm2/Prps1/Atp5pb/LOC100359539",28,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0030162","regulation of proteolysis","42/727","467/18481",5.70183589792331e-07,0.000123111389138389,0.000102601491412538,"Mapk9/Ubqln2/Sumo2/Trib1/Wfs1/Mdm2/Timm17a/Trib3/Nfe2l1/Psmc5/Cycs/Fbxw7/Psmc3/Angptl8/Nop53/Rps6ka2/Map1a/Chac1/Usp14/Pbk/Ide/Agtpbp1/Herpud1/Plk1/Gsn/Psmc4/Stub1/Nedd8/Cdh1/Ins2/Cfl1/Tmem98/S100a10/Akt1/Serpina1/Vcp/Csnk1d/Ppm1f/Inpp5b/Psmd10/Psme3/Rbx1",42,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0042176","regulation of protein catabolic process","36/727","370/18481",5.8108334125103e-07,0.000123111389138389,0.000102601491412538,"Psmd2/Mapk9/Ubqln2/Sumo2/Trib1/Irak3/Wfs1/Mad2l1/Mdm2/Trib3/Nfe2l1/Gga1/Psmc5/Fbxw7/Psmc3/Nop53/Map1a/Usp14/Pbk/Sf3b3/Psmd1/Herpud1/Plk1/Psmc4/Oaz1/Stub1/Cdh1/Ins2/Crebrf/Psmd3/Akt1/Vcp/Csnk1d/Psmd10/Psme3/Rbx1",36,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009144","purine nucleoside triphosphate metabolic process","20/727","140/18481",5.92831729398343e-07,0.000123111389138389,0.000102601491412538,"Ran/Atp5mc3/Opa1/Dnm1l/Atp6v1a/Parp1/Flcn/Myc/Ndufs1/Atp5f1a/Ola1/Stat3/Atp5mf/Ctns/Impdh2/Vcp/Ak4/Rhoa/Aldoa/Atp5pb",20,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009263","deoxyribonucleotide biosynthetic process","7/727","15/18481",6.91505238573101e-07,0.000137858484361933,0.000114891775638293,"Dck/Shmt1/Dut/Tyms/Rrm1/Rrm2/LOC100359539",7,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","17/727","106/18481",7.92271892897821e-07,0.000151872427469336,0.000126571048152826,"Mapk9/Ubqln2/Sumo2/Trib1/Mdm2/Trib3/Fbxw7/Nop53/Agtpbp1/Herpud1/Plk1/Stub1/Akt1/Vcp/Csnk1d/Psmd10/Rbx1",17,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0034976","response to endoplasmic reticulum stress","29/727","269/18481",9.26563141402318e-07,0.000171036692472191,0.00014254261816661,"Atp2a2/Opa1/Eif4g1/Dnm1l/Ubqln2/Atf3/Sel1l/Wfs1/Ddit3/Aff4/Trib3/Nfe2l1/Serinc3/Chac1/Usp14/Nck2/Atf4/Hspa5/Herpud1/Stub1/Eef2/Ins2/Crebrf/Atf6/Jun/Vcp/Sesn2/Edem1/Cebpb",29,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009612","response to mechanical stimulus","35/727","362/18481",9.65191183099274e-07,0.000171804030591671,0.000143182120620667,"Psph/Sun1/Atp5mc3/Kit/Mapk9/Abl2/Myc/Slc38a2/Slc2a1/Asns/Cycs/Casp3/Mbd2/Mtpn/Lrp11/Gsr/Ryr2/Bnip3/Gsn/Habp4/Jund/Vegfa/Igf2/Nrxn2/Jun/Akt1/Atp2b2/Actb/Rhoa/Tuba1a/Cited2/Junb/Fosl2/Bmp2/Chek1",35,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0030901","midbrain development","16/727","98/18481",1.30277235970216e-06,0.000223897153129502,0.00018659672346224,"Smad9/Uchl1/Calm1/Lmx1a/Ywhae/Padi2/Dynll1/Barhl1/Calm3/Hspa5/Maob/Actb/Rhoa/Ywhaq/Atp5pb/Calm2",16,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","10/727","38/18481",1.45047626163709e-06,0.000240972456266641,0.00020082734485684,"Atf3/Ddit3/Nfe2l1/Nck2/Atf4/Vegfa/Atf6/Jun/Cited2/Cebpb",10,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","15/727","89/18481",1.84001999959894e-06,0.000295827731548423,0.00024654393610925,"Mapk9/Ubqln2/Sumo2/Trib1/Mdm2/Trib3/Nop53/Herpud1/Plk1/Stub1/Akt1/Vcp/Csnk1d/Psmd10/Rbx1",15,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1903050","regulation of proteolysis involved in protein catabolic process","26/727","234/18481",1.91424218779411e-06,0.000298143220748932,0.000248473673455117,"Mapk9/Ubqln2/Sumo2/Trib1/Wfs1/Mdm2/Trib3/Nfe2l1/Psmc5/Fbxw7/Psmc3/Nop53/Map1a/Usp14/Pbk/Agtpbp1/Herpud1/Plk1/Psmc4/Stub1/Akt1/Vcp/Csnk1d/Psmd10/Psme3/Rbx1",26,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0061572","actin filament bundle organization","22/727","181/18481",2.6887156966962e-06,0.00040607754643436,0.000338426543513978,"Limk1/Arhgap6/Pfn1/Sh3pxd2b/Abl2/Wnt4/Vil1/Pdlim1/Pfn2/Dpysl3/Shank1/Cfl1/S100a10/Fhdc1/Pls3/Arhgef18/Tmsb15b2/Ppm1f/Gas7/Rhoa/Pdlim4/Rflna",22,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009142","nucleoside triphosphate biosynthetic process","15/727","92/18481",2.83143966982714e-06,0.00041505574454172,0.000345909007341731,"Atp5mc3/Atp6v1a/Parp1/Flcn/Ctps2/Myc/Atp5f1a/Stat3/Atp5mf/Impdh2/Vcp/Tyms/Ak4/Aldoa/Atp5pb",15,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0001666","response to hypoxia","42/727","499/18481",3.17036899746205e-06,0.000451460545238596,0.000376248904180007,"Smad9/Foxo3/Opa1/Dnm1l/Tgfb2/Myc/Kcnma1/Mdm2/Slc2a1/Plod1/Kdm3a/Casp3/Nop53/Ccna2/Pdlim1/Ryr2/Bnip3/Atf4/Sod2/Jund/Vegfa/Stat3/Stub1/Pklr/Vegfb/Jun/Acsl6/Vldlr/Akt1/ND2/Serpina1/Ak4/Lonp1/Rhoa/Aldoa/Cited2/Ddit4/Atp5pb/Sox4/Junb/Fosl2/Bmp2",42,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0072521","purine-containing compound metabolic process","39/727","451/18481",3.75221905460241e-06,0.000513506337364602,0.000427958099020174,"Ran/Atp5mc3/Opa1/Dnm1l/Atp6v1a/Parp1/Dck/Flcn/Myc/Shmt1/Suclg1/Pdhb/Shmt2/Txnrd1/Me1/Ndufs1/Aprt/Me2/Hsd17b4/Tkt/Acly/Atp5f1a/Taldo1/Ola1/Stat3/Acsl6/Atp5mf/Fitm2/Ctns/Atp2b2/Impdh2/Vcp/Ak4/Rhoa/Aldoa/G6pc1/Gpd1/Prps1/Atp5pb",39,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006418","tRNA aminoacylation for protein translation","10/727","42/18481",3.91517672950539e-06,0.000513506337364602,0.000427958099020174,"Eprs1/Yars1/Iars1/Nars1/Lars1/Aars1/Tars1/Sars1/Mars1/Hars1",10,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0043620","regulation of DNA-templated transcription in response to stress","10/727","42/18481",3.91517672950539e-06,0.000513506337364602,0.000427958099020174,"Atf3/Ddit3/Nfe2l1/Nck2/Atf4/Vegfa/Atf6/Jun/Cited2/Cebpb",10,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0048857","neural nucleus development","13/727","72/18481",4.03427187170177e-06,0.000515559256629785,0.000429669009601489,"Uchl1/Calm1/Ywhae/Padi2/Dynll1/Calm3/Hspa5/Maob/Actb/Rhoa/Ywhaq/Atp5pb/Calm2",13,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0046034","ATP metabolic process","16/727","107/18481",4.2881615107483e-06,0.000529207858413682,0.000441043805292808,"Atp5mc3/Dnm1l/Atp6v1a/Parp1/Flcn/Myc/Ndufs1/Atp5f1a/Ola1/Stat3/Atp5mf/Ctns/Vcp/Ak4/Aldoa/Atp5pb",16,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006006","glucose metabolic process","24/727","215/18481",4.35343543237579e-06,0.000529207858413682,0.000441043805292808,"Tff3/Atf3/Myc/Gcg/Pdhb/Nfe2l1/Pgp/Slc39a14/Ins1/Eno2/Tpi1/Pfkp/Atf4/Pck2/Igf2/Ins2/Irs2/Akt1/Sesn2/Epm2aip1/G6pc1/Psme3/Gpd1/Igfbp1",24,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0032868","response to insulin","34/727","371/18481",4.52335736191815e-06,0.000536771740280954,0.000447347572684938,"Vgf/Opa1/Eprs1/Parp1/Myc/Srsf6/Slc2a1/Trib3/Slc39a14/Tns2/Ins1/Fabp3/C2cd5/Aprt/Ghr/Hras/Ide/Igf2/Ins2/Pklr/Abcc8/Irs2/Jun/Acsl6/Vldlr/Akt1/Sesn2/Epm2aip1/Lonp1/Grb14/G6pc1/Errfi1/Igfbp1/Tnfsf10",34,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0000101","sulfur amino acid transport","6/727","13/18481",4.91500191764457e-06,0.00056968301296606,0.000474775950233182,"Slc1a4/Nfe2l1/Slc7a11/Slc3a2/Slc7a5/Ctns",6,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0019318","hexose metabolic process","26/727","248/18481",5.61355563299256e-06,0.000635862756246248,0.000529930395401642,"Tff3/Atf3/Myc/Gcg/Pdhb/Chst1/Nfe2l1/Pgp/Slc39a14/Ins1/Eno2/Tpi1/Pfkp/Atf4/Pck2/Igf2/Ins2/Irs2/Akt1/Sesn2/Epm2aip1/Aldoa/G6pc1/Psme3/Gpd1/Igfbp1",26,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:2001242","regulation of intrinsic apoptotic signaling pathway","23/727","205/18481",6.30216149484338e-06,0.00069799939756221,0.000581715304295953,"Hsph1/Opa1/Dnm1l/Sod1/Parp1/Flcn/Myc/Wfs1/Ybx3/Gcg/Mdm2/Ddit3/Dnaja1/Serinc3/Hdac1/Fbxw7/Eif5a/Nck2/Atf4/Herpud1/Sod2/Akt1/Mtch2",23,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0046184","aldehyde biosynthetic process","7/727","20/18481",7.01007374593547e-06,0.000759505903365077,0.000632975055900692,"Kdm3a/Wnt4/Tpi1/Tkt/Pdxk/Aldoa/Bmp2",7,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0051017","actin filament bundle assembly","21/727","178/18481",7.23290427199014e-06,0.000759505903365077,0.000632975055900692,"Limk1/Arhgap6/Pfn1/Sh3pxd2b/Abl2/Wnt4/Vil1/Pdlim1/Pfn2/Dpysl3/Shank1/Cfl1/S100a10/Fhdc1/Pls3/Arhgef18/Tmsb15b2/Ppm1f/Gas7/Rhoa/Pdlim4",21,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006260","DNA replication","27/727","267/18481",7.31466359581134e-06,0.000759505903365077,0.000632975055900692,"Cdk1/Polq/Parp1/Mcm6/Nfic/Ccne2/Fam111a/Mcm3/Recql/Lig1/Mcm5/Ccna2/Mcm2/Hras/Ilkap/Ins2/Pcna/Jun/Prim1/Alyref/Pole/Rrm1/Chaf1a/Tk1/Rrm2/Pclaf/Pole3",27,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0043039","tRNA aminoacylation","10/727","45/18481",7.62888783525282e-06,0.000775966876957144,0.000646693692758488,"Eprs1/Yars1/Iars1/Nars1/Lars1/Aars1/Tars1/Sars1/Mars1/Hars1",10,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","18/727","138/18481",8.00287346157403e-06,0.000796953348282953,0.00066418389632604,"Mapk9/Ubqln2/Sumo2/Trib1/Mdm2/Trib3/Nop53/Map1a/Usp14/Pbk/Herpud1/Plk1/Stub1/Akt1/Vcp/Csnk1d/Psmd10/Rbx1",18,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009265","2'-deoxyribonucleotide biosynthetic process","6/727","14/18481",8.31492257438073e-06,0.000796953348282953,0.00066418389632604,"Dck/Shmt1/Dut/Tyms/Rrm1/Rrm2",6,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0046385","deoxyribose phosphate biosynthetic process","6/727","14/18481",8.31492257438073e-06,0.000796953348282953,0.00066418389632604,"Dck/Shmt1/Dut/Tyms/Rrm1/Rrm2",6,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006163","purine nucleotide metabolic process","36/727","416/18481",8.68834827491257e-06,0.000817032600040835,0.000680918019718074,"Ran/Atp5mc3/Opa1/Dnm1l/Atp6v1a/Parp1/Dck/Flcn/Myc/Suclg1/Pdhb/Txnrd1/Me1/Ndufs1/Aprt/Me2/Hsd17b4/Tkt/Acly/Atp5f1a/Taldo1/Ola1/Stat3/Acsl6/Atp5mf/Fitm2/Ctns/Atp2b2/Impdh2/Vcp/Ak4/Rhoa/Aldoa/Gpd1/Prps1/Atp5pb",36,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0043038","amino acid activation","10/727","46/18481",9.40745768214693e-06,0.00085289286283292,0.000710804096633163,"Eprs1/Yars1/Iars1/Nars1/Lars1/Aars1/Tars1/Sars1/Mars1/Hars1",10,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0045732","positive regulation of protein catabolic process","23/727","210/18481",9.41193969819635e-06,0.00085289286283292,0.000710804096633163,"Mapk9/Ubqln2/Sumo2/Trib1/Wfs1/Mdm2/Trib3/Gga1/Psmc5/Fbxw7/Psmc3/Nop53/Herpud1/Plk1/Psmc4/Oaz1/Stub1/Crebrf/Akt1/Vcp/Csnk1d/Psmd10/Rbx1",23,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1903715","regulation of aerobic respiration","9/727","37/18481",9.91631150472905e-06,0.000882551723920885,0.00073552190221167,"Myc/Shmt2/Nop53/Ide/Bnip3/Akt1/Vcp/Ak4/Rhoa",9,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0043457","regulation of cellular respiration","11/727","57/18481",1.14326729558205e-05,0.000991012692367557,0.000825913678314265,"Flcn/Myc/Shmt2/Cycs/Nop53/Ide/Bnip3/Akt1/Vcp/Ak4/Rhoa",11,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0036119","response to platelet-derived growth factor","10/727","47/18481",1.15326517169579e-05,0.000991012692367557,0.000825913678314265,"Myc/Ddit3/Hdac1/Fn1/Arpc2/Ccna2/Mtss2/Mars1/Dnmt1/Errfi1",10,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0005996","monosaccharide metabolic process","27/727","275/18481",1.2567850189179e-05,0.00106166381937065,0.00088479459137378,"Tff3/Atf3/Myc/Gcg/Pdhb/Chst1/Nfe2l1/Pgp/Slc39a14/Ins1/Eno2/Tpi1/Pfkp/Atf4/Pck2/Igf2/Ins2/Irs2/Hexb/Akt1/Sesn2/Epm2aip1/Aldoa/G6pc1/Psme3/Gpd1/Igfbp1",27,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006119","oxidative phosphorylation","18/727","144/18481",1.45299727327005e-05,0.00120695640166299,0.0010058819719866,"Cdk1/Myc/Ndufa8/Ndufa12/Shmt2/Cycs/Ndufs1/Cyc1/Atp5f1a/Ndufb6/Atp5mf/ND2/Uqcrc1/Vcp/Ak4/Rhoa/Mtch2/Atp5pb",18,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
